benchmark_func,is_shared_fitness,population_size,ngen,best_fitness,best_individual,time (s)
ackley,False,50,500,"(1.1190757209789126e-08,)","[3.956530511776118e-09, 4.865026639789408e-13]",0.26612305641174316
ackley,False,50,1000,"(0.001495204904693015,)","[-1.2060636318492828e-05, -0.000525891415915711]",0.567105770111084
ackley,False,50,5000,"(3.1392133337249106e-10,)","[-8.432659574641608e-14, -1.1098858909998754e-10]",2.6358749866485596
ackley,False,50,10000,"(0.00018314621803838804,)","[6.198483804431056e-05, 1.859012658885921e-05]",5.286239385604858
ackley,True,50,500,"(7.710457953941246,)","[-1.2219932597047336, 2.251539286215074]",1.160923957824707
ackley,True,50,1000,"(0.890318467878561,)","[0.14309433899306417, 0.026284874992147836]",2.336444139480591
ackley,True,50,5000,"(17.310548376713154,)","[-11.062735394690394, -7.928585077470334]",11.68362808227539
ackley,True,50,10000,"(5.167753544977096,)","[-0.026962260720254424, 2.0600556952705174]",22.877413511276245
ackley,False,100,500,"(7.313900596273015e-10,)","[-2.5858567858703104e-10, 1.0214952255493309e-13]",0.5130493640899658
ackley,False,100,1000,"(0.0,)","[1.9294010894646216e-17, 3.794903123241936e-16]",1.009655237197876
ackley,False,100,5000,"(0.0,)","[3.1402754820338767e-16, 8.141724983838129e-17]",5.0915703773498535
ackley,False,100,10000,"(0.0,)","[-9.194846796521723e-17, 5.003219551811181e-17]",10.124213933944702
ackley,True,100,500,"(6.145882751050286,)","[-0.7689182683277571, 1.919786237801255]",3.673339366912842
ackley,True,100,1000,"(20.520735820484497,)","[10.070422147672904, 19.693754725005107]",7.393384695053101
ackley,True,100,5000,"(0.0,)","[-3.274989127851504e-16, 1.2007330335596557e-16]",36.41543912887573
ackley,True,100,10000,"(6.07806195346282,)","[-0.5599293762330255, 1.3792805450397374]",72.57507920265198
rosenbrock,False,50,500,"(0.20590212925885837,)","[0.5462365366793572, 0.2982822337497644]",0.2534465789794922
rosenbrock,False,50,1000,"(0.03881987170296137,)","[0.803402077543207, 0.6441544037231128]",0.5103209018707275
rosenbrock,False,50,5000,"(0.0027469432994374886,)","[0.9475977909869426, 0.8978440137585829]",2.5921993255615234
rosenbrock,False,50,10000,"(0.000575862969281641,)","[0.9760028551527704, 0.9525812823587576]",5.175435781478882
rosenbrock,True,50,500,"(0.0755012967146938,)","[0.725484253948077, 0.5251340801203848]",1.1512608528137207
rosenbrock,True,50,1000,"(3.418121761835555,)","[-0.8467764591410134, 0.7083479344258542]",2.286881923675537
rosenbrock,True,50,5000,"(0.7743892333357199,)","[1.878558632536163, 3.534006441261302]",11.466969728469849
rosenbrock,True,50,10000,"(0.366193125788728,)","[1.6037181047277866, 2.5760561240544186]",23.010032892227173
rosenbrock,False,100,500,"(0.05454305715383614,)","[0.7664554493167607, 0.587453955829216]",0.5134673118591309
rosenbrock,False,100,1000,"(0.01611790299119667,)","[0.8731479031610857, 0.7618729795605723]",1.0121510028839111
rosenbrock,False,100,5000,"(0.0003503909898163175,)","[1.0186962269271223, 1.037833768136057]",4.9791364669799805
rosenbrock,False,100,10000,"(0.0004076584906724457,)","[1.0201905544914558, 1.0407887674593617]",9.936371326446533
rosenbrock,True,100,500,"(0.06001857924129166,)","[0.7552812947935579, 0.5693038213358996]",3.639356851577759
rosenbrock,True,100,1000,"(3.528191813845693,)","[-0.8731953053019543, 0.776373696131071]",7.264095067977905
rosenbrock,True,100,5000,"(0.7377401039217334,)","[1.8587342527309971, 3.4531165451203294]",36.14211821556091
rosenbrock,True,100,10000,"(0.1585103075622767,)","[1.3964633000289652, 1.9537527680812607]",72.1772301197052
rastrigin,False,50,500,"(2.1128414573468035e-09,)","[-3.3155277550522025e-07, 3.2465223890819885e-06]",0.2572338581085205
rastrigin,False,50,1000,"(5.396166216087295e-07,)","[-1.5619005252788677e-09, -5.215314319592211e-05]",0.5094630718231201
rastrigin,False,50,5000,"(1.8474111129762605e-13,)","[7.602972488052266e-10, -3.0622238371291106e-08]",2.541285991668701
rastrigin,False,50,10000,"(3.348017685311788e-08,)","[6.195190828608342e-10, 1.2990674889779007e-05]",5.112692356109619
rastrigin,True,50,500,"(4.2501676489337115e-07,)","[-7.721946052897076e-06, 4.563637357281113e-05]",1.1519136428833008
rastrigin,True,50,1000,"(13.069282644136235,)","[0.08007760072154418, -0.27793707889990005]",2.2870612144470215
rastrigin,True,50,5000,"(2.5117350556464366,)","[1.0338019141564931, -1.0285441272687175]",11.393217086791992
rastrigin,True,50,10000,"(2.456256525157052,)","[1.0411644768384396, -1.0099625967197066]",22.831834077835083
rastrigin,False,100,500,"(0.0,)","[-4.072927488291802e-10, -6.634393685271989e-10]",0.49144697189331055
rastrigin,False,100,1000,"(0.0,)","[-6.06058775253823e-10, -2.584994609089545e-09]",0.9891233444213867
rastrigin,False,100,5000,"(0.0,)","[8.313621435827578e-10, -1.9064980223123427e-09]",4.936648607254028
rastrigin,False,100,10000,"(0.0,)","[-9.321147555334188e-10, 1.5916778949484347e-09]",9.862948417663574
rastrigin,True,100,500,"(2.5970400652638546,)","[1.0431385680783396, 0.9675015546134655]",3.5850281715393066
rastrigin,True,100,1000,"(1.127362138373023,)","[-0.014939312508974376, 1.0160444359112013]",7.171510457992554
rastrigin,True,100,5000,"(3.58791016452642e-07,)","[-6.432435821707212e-09, 4.252639836899738e-05]",36.03116250038147
rastrigin,True,100,10000,"(2.031691030904362,)","[-0.9806811059537719, -0.9976310128428071]",71.63619112968445
bohachevsky,False,50,500,"(3.1812209038140082e-06,)","[-5.598484588998064e-07, 0.0003077788953412122]",0.2672431468963623
bohachevsky,False,50,1000,"(5.233591338082988e-13,)","[1.911740393080281e-07, -1.5115778058168492e-10]",0.5184714794158936
bohachevsky,False,50,5000,"(4.801270492293952e-12,)","[5.78966922716256e-07, 1.6925454138049743e-10]",2.59731388092041
bohachevsky,False,50,10000,"(0.0,)","[-1.45172160631261e-09, 1.4127184839357217e-09]",5.235462427139282
bohachevsky,True,50,500,"(3.6423811119169125,)","[-1.2177398530184176, -0.8221906810252402]",1.1578247547149658
bohachevsky,True,50,1000,"(2.3058188991098723,)","[-0.16112484612343458, 0.8260766826596833]",2.301159143447876
bohachevsky,True,50,5000,"(3.1770452935120375e-10,)","[4.70955757505519e-06, 3.8098358656789253e-10]",11.585861921310425
bohachevsky,True,50,10000,"(1.4605872067363634e-11,)","[9.757791220570455e-07, 1.697301758634183e-07]",23.154314517974854
bohachevsky,False,100,500,"(0.0,)","[1.924498532186475e-09, 8.555381140699137e-10]",0.5142519474029541
bohachevsky,False,100,1000,"(0.0,)","[9.172310939352169e-10, -1.6467841656557491e-09]",1.00809907913208
bohachevsky,False,100,5000,"(0.0,)","[-2.6457286714847985e-09, 5.656477387213726e-10]",5.081384897232056
bohachevsky,False,100,10000,"(1.0016520946010132e-10,)","[-2.644399313464699e-06, 3.116729730126283e-10]",10.038947105407715
